Production_Line,Product,Energy_Consumption,Machine_Efficiency,Downtime,Maintenance_Cost,Production_Count,Defect_Rate,Revenue
Linha_Alpha,Módulo_D4,351.46,85.9,40.8,2060.6,865,2.85,12434.1
Linha_Beta,Sensor_A1,447.92,73.8,5.9,436.51,1685,2.53,32044.71
Linha_Gamma,Painel_B2,399.96,85.5,2.2,258.98,2262,5.46,90557.66
Linha_Beta,Módulo_D4,363.29,81.7,4.1,398.1,1444,4.78,52938.08
Linha_Beta,Módulo_D4,313.99,75.3,22.5,1205.49,1475,0.98,50316.33
Linha_Delta,Módulo_D4,336.85,94.8,53.4,2636.88,2011,1.15,35410.16
Linha_Delta,Conector_C3,422.71,70.3,9.4,662.76,930,5.64,31141.31
Linha_Alpha,Sensor_A1,324.67,79.2,5.5,472.67,1358,4.22,51354.82
Linha_Gamma,Sensor_A1,342.54,70.4,8.4,602.52,2012,8.27,81523.4
Linha_Delta,Módulo_D4,340.04,72.8,5.5,344.74,729,5.93,10879.63
Linha_Alpha,Módulo_D4,366.55,78.8,4.4,411.34,869,0.58,30467.93
Linha_Gamma,Módulo_D4,330.35,71.6,13.5,833.39,677,4.35,9709.48
Linha_Alpha,Painel_B2,357.96,87.6,0.2,170.85,2380,3.82,85999.87
Linha_Delta,Módulo_D4,331.36,72.6,4.5,402.76,1933,1.35,65451.92
Linha_Alpha,Conector_C3,409.15,90.7,16.2,897.72,1067,7.89,19855.9
Linha_Gamma,Sensor_A1,319.12,71.6,0.5,253.33,2113,6.94,80006.13
Linha_Gamma,Conector_C3,393.99,71.7,1.3,229.82,1793,2.34,30341.6
Linha_Alpha,Módulo_D4,323.67,79.0,5.2,410.21,1729,2.55,68390.09
Linha_Gamma,Painel_B2,311.58,96.4,31.5,1603.58,1292,0.76,27928.8
Linha_Alpha,Módulo_D4,318.46,88.9,21.7,1243.98,2263,2.87,79467.17
Linha_Gamma,Módulo_D4,272.99,92.7,0.3,243.64,1399,5.18,59508.6
Linha_Alpha,Módulo_D4,369.74,74.2,10.4,716.38,2274,3.87,56576.62
Linha_Alpha,Módulo_D4,297.62,94.6,4.8,361.61,1474,8.25,43986.37
Linha_Alpha,Módulo_D4,333.89,70.2,15.7,868.42,2323,0.95,66251.28
Linha_Beta,Sensor_A1,384.27,76.3,19.2,1104.16,581,5.23,10358.01
Linha_Gamma,Conector_C3,382.82,88.2,29.8,1488.2,1345,7.37,42505.89
Linha_Delta,Painel_B2,285.58,81.1,9.7,616.35,1261,4.35,46406.41
Linha_Alpha,Módulo_D4,363.97,99.0,77.9,3767.16,1716,0.52,69173.56
Linha_Beta,Painel_B2,401.32,70.9,58.7,2812.6,1117,2.44,42452.8
Linha_Delta,Sensor_A1,321.34,99.5,32.1,1589.87,1712,3.09,50284.73
Linha_Alpha,Conector_C3,373.11,88.4,12.8,777.42,1799,8.23,65012.94
Linha_Delta,Módulo_D4,298.55,86.5,7.6,488.61,1597,7.79,61831.92
Linha_Beta,Sensor_A1,367.35,71.8,6.8,543.12,1533,8.09,45147.43
Linha_Delta,Sensor_A1,355.91,78.1,0.2,182.15,2158,7.11,39660.63
Linha_Alpha,Conector_C3,379.75,97.3,4.3,360.64,715,3.31,19757.97
Linha_Delta,Módulo_D4,376.96,80.5,19.0,1055.88,789,7.75,30720.58
Linha_Delta,Conector_C3,289.09,89.5,13.9,813.37,944,8.35,30243.51
Linha_Alpha,Conector_C3,356.14,99.5,37.2,1881.57,1422,3.3,50353.82
Linha_Beta,Painel_B2,415.38,77.8,0.8,251.65,1051,2.58,21354.85
Linha_Beta,Painel_B2,251.66,87.0,2.5,305.98,692,4.88,30093.67
Linha_Delta,Conector_C3,393.51,90.5,23.4,1218.16,2162,2.0,57420.5
Linha_Gamma,Painel_B2,422.08,74.9,6.7,523.42,788,0.76,26748.52
Linha_Delta,Sensor_A1,283.19,74.4,1.9,264.7,2487,8.07,38448.36
Linha_Gamma,Conector_C3,319.82,83.5,84.6,3980.93,1082,7.91,16381.85
Linha_Delta,Módulo_D4,373.3,81.4,23.2,1248.28,2172,1.8,82289.07
Linha_Beta,Módulo_D4,310.12,91.1,7.9,497.64,1667,3.76,72915.51
Linha_Delta,Sensor_A1,411.41,72.1,26.0,1381.73,1912,7.15,45656.65
Linha_Delta,Módulo_D4,397.65,98.7,17.1,975.37,2389,5.79,37524.37
Linha_Gamma,Módulo_D4,287.68,70.4,23.4,1286.65,2415,3.66,61083.14
Linha_Beta,Conector_C3,316.56,87.7,25.3,1323.49,1930,6.45,28637.91
Linha_Gamma,Sensor_A1,384.64,86.6,1.3,298.24,2334,7.68,48181.72
Linha_Delta,Conector_C3,382.88,74.0,14.6,872.89,1893,7.91,70255.0
Linha_Alpha,Sensor_A1,449.83,74.5,0.1,203.7,1356,3.53,58257.06
