id,timestamp,plant,station,piece_id,event,status,pressao_bar,temperature,payload
1,2026-08-01 00:00:00,SmartN1,Torno_CNC_02,PART-1000,press.cycle,WARNING,,75.26,"{""pressao_bar"": null, ""temperatura_c"": 75.26}"
2,2026-08-01 00:01:00,SmartN1,Injetora_04,PART-1001,inspection.done,OK,,73.24,"{""pressao_bar"": null, ""temperatura_c"": 73.24}"
3,2026-08-01 00:02:00,SmartN1,Fresadora_03,PART-1002,sensor.read,WARNING,5.32,73.51,"{""pressao_bar"": 5.32, ""temperatura_c"": 73.51}"
4,2026-08-01 00:03:00,SmartN1,Fresadora_03,PART-1003,sensor.read,OK,5.83,72.41,"{""pressao_bar"": 5.83, ""temperatura_c"": 72.41}"
5,2026-08-01 00:04:00,SmartN1,Linha_Montagem,PART-1004,sensor.read,OK,6.1,68.5,"{""pressao_bar"": 6.1, ""temperatura_c"": 68.5}"
6,2026-08-01 00:05:00,SmartN1,Torno_CNC_02,PART-1005,inspection.done,OK,6.27,73.59,"{""pressao_bar"": 6.27, ""temperatura_c"": 73.59}"
7,2026-08-01 00:06:00,SmartN1,Torno_CNC_02,PART-1006,sensor.read,OK,5.53,74.62,"{""pressao_bar"": 5.53, ""temperatura_c"": 74.62}"
8,2026-08-01 00:07:00,SmartN1,Injetora_04,PART-1007,sensor.read,OK,5.66,69.46,"{""pressao_bar"": 5.66, ""temperatura_c"": 69.46}"
9,2026-08-01 00:08:00,SmartN1,Linha_Montagem,PART-1008,sensor.read,OK,6.0,72.4,"{""pressao_bar"": 6.0, ""temperatura_c"": 72.4}"
10,2026-08-01 00:09:00,SmartN1,Linha_Montagem,PART-1009,sensor.read,OK,6.18,70.23,"{""pressao_bar"": 6.18, ""temperatura_c"": 70.23}"
11,2026-08-01 00:10:00,SmartN1,Injetora_04,PART-1010,piece.detected,OK,5.95,71.75,"{""pressao_bar"": 5.95, ""temperatura_c"": 71.75}"
12,2026-08-01 00:11:00,SmartN1,Fresadora_03,PART-1011,sensor.read,OK,6.31,68.53,"{""pressao_bar"": 6.31, ""temperatura_c"": 68.53}"
13,2026-08-01 00:12:00,SmartN1,Prensa_01,PART-1012,press.cycle,OK,6.53,71.56,"{""pressao_bar"": 6.53, ""temperatura_c"": 71.56}"
14,2026-08-01 00:13:00,SmartN1,Injetora_04,PART-1013,press.cycle,WARNING,5.15,78.2,"{""pressao_bar"": 5.15, ""temperatura_c"": 78.2}"
15,2026-08-01 00:14:00,SmartN1,Fresadora_03,PART-1014,sensor.read,OK,6.41,70.74,"{""pressao_bar"": 6.41, ""temperatura_c"": 70.74}"
16,2026-08-01 00:15:00,SmartN1,Linha_Montagem,PART-1015,sensor.read,OK,6.32,70.12,"{""pressao_bar"": 6.32, ""temperatura_c"": 70.12}"
17,2026-08-01 00:16:00,SmartN1,Injetora_04,PART-1016,inspection.done,WARNING,5.33,70.34,"{""pressao_bar"": 5.33, ""temperatura_c"": 70.34}"
18,2026-08-01 00:17:00,SmartN1,Prensa_01,PART-1017,press.cycle,OK,5.99,71.83,"{""pressao_bar"": 5.99, ""temperatura_c"": 71.83}"
19,2026-08-01 00:18:00,SmartN1,Torno_CNC_02,PART-1018,piece.detected,OK,6.05,78.77,"{""pressao_bar"": 6.05, ""temperatura_c"": 78.77}"
20,2026-08-01 00:19:00,SmartN1,Injetora_04,PART-1019,press.cycle,OK,5.36,77.42,"{""pressao_bar"": 5.36, ""temperatura_c"": 77.42}"
21,2026-08-01 00:20:00,SmartN1,Prensa_01,PART-1020,temp.warning,OK,5.78,72.0,"{""pressao_bar"": 5.78, ""temperatura_c"": 72.0}"
22,2026-08-01 00:21:00,SmartN1,Prensa_01,PART-1021,sensor.read,OK,5.86,70.25,"{""pressao_bar"": 5.86, ""temperatura_c"": 70.25}"
23,2026-08-01 00:22:00,SmartN1,Injetora_04,PART-1022,sensor.read,OK,5.37,66.34,"{""pressao_bar"": 5.37, ""temperatura_c"": 66.34}"
24,2026-08-01 00:23:00,SmartN1,Fresadora_03,PART-1023,sensor.read,OK,5.66,69.31,"{""pressao_bar"": 5.66, ""temperatura_c"": 69.31}"
25,2026-08-01 00:24:00,SmartN1,Injetora_04,PART-1024,sensor.read,OK,6.36,65.59,"{""pressao_bar"": 6.36, ""temperatura_c"": 65.59}"
26,2026-08-01 00:25:00,SmartN1,Linha_Montagem,PART-1025,sensor.read,OK,6.47,75.09,"{""pressao_bar"": 6.47, ""temperatura_c"": 75.09}"
27,2026-08-01 00:26:00,SmartN1,Prensa_01,PART-1026,temp.warning,OK,5.36,77.17,"{""pressao_bar"": 5.36, ""temperatura_c"": 77.17}"
28,2026-08-01 00:27:00,SmartN1,Prensa_01,PART-1027,inspection.done,WARNING,4.73,71.19,"{""pressao_bar"": 4.73, ""temperatura_c"": 71.19}"
