proponente_id,idade,tipo_vinculo,estado_civil,escolaridade,renda_mensal,valor_solicitado,numero_parcelas,score_serasa,num_consultas_recentes,atrasos_ultimos_12m,ruido_estocastico,numero_da_sorte_app,ip_origem_hash,inadimplente
PROP-10000,38.6, CLT ,Casado,Superior,6712.15,14246.95,36,558.4,2,1,6.18,6065,IP-6C5C3,0
PROP-10001,47.5,Estudante,Casado,Medio,5368.84,5190.76,48,870.5,1,0,-35.96,2952,IP-C8AB0,0
PROP-10002,32.8,AUTONOMO,Solteiro,Pos_Graduacao,2225.99,9473.2,36,621.8,3,0,15.62,2156,IP-E8425,1
PROP-10003,56.4,Autonomo,Casado,Superior,3381.73,31624.27,36,577.0,1,1,-14.38,5055,IP-B3634,1
PROP-10004,21.9,CLT,Casado,Medio,4049.39,34329.83,24,622.4,1,1,51.27,8441,IP-779C5,0
PROP-10005,51.1,CLT,Casado,Fundamental,3683.44,23372.77,36,669.7,3,0,13.56,3065,IP-2AADC,0
PROP-10006,45.4,CLT,Divorciado,Superior,2224.67,32255.17,24,712.2,2,1,95.19,4923,IP-4B3D9,1
PROP-10007,19.1,PJ,Solteiro,Medio,12247.33,23210.48,48,588.0,2,3,-72.09,4942,IP-8D28F,0
PROP-10008,67.8,Autonomo,Casado,Superior,7434.66,3095.48,48,679.5,2,1,15.99,2383,IP-BB4EB,1
PROP-10009,37.3,AUTONOMO,Solteiro,Medio,4157.46,34893.17,48,854.7,4,1,0.84,2875,IP-86DAB,1
PROP-10010,28.3,CLT,Casado,Superior,6186.43,5265.43,24,760.9,1,2,21.03,2795,IP-2D15D,0
PROP-10011,22.5,Estudante,Solteiro,Superior,10958.25,24527.18,12,947.6,1,1,65.43,1021,IP-4FC8F,0
PROP-10012,35.6,PJ,Solteiro,Fundamental,,10343.59,12,528.1,0,0,-71.64,7360,IP-D8AA5,0
PROP-10013,36.6,CLT,Solteiro,Superior,2610.35,14935.38,36,854.7,2,0,30.4,7996,IP-7336C,0
PROP-10014,39.1,CLT,Casado,Superior,4686.16,23315.83,48,509.3,1,0,16.85,7637,IP-76B99,1
PROP-10015,34.7,CLT,Solteiro,Superior,8138.91,16404.08,36,669.5,3,0,-45.49,9392,IP-7184F,0
