idade,renda_mensal,valor_solicitado,numero_parcelas,score_serasa,num_consultas_recentes,atrasos_ultimos_12m,valor_parcela,comprometimento_renda,tipo_vinculo_CLT,tipo_vinculo_ESTUDANTE,tipo_vinculo_PJ,tipo_vinculo_SERVIDOR_PUBLICO,estado_civil_Divorciado,estado_civil_Solteiro,estado_civil_Viuvo,escolaridade_Medio,escolaridade_Pos_Graduacao,escolaridade_Superior
39.8,3241.34,10755.69,48,717.6,3,0,224.076875,0.06913093791724738,False,True,False,False,True,False,False,False,False,True
44.7,2021.52,15009.99,36,739.3,2,0,416.94416666666666,0.20625280215092537,True,False,False,False,False,True,False,False,False,True
67.7,4264.07,5066.08,24,623.3,2,0,211.08666666666667,0.12949295926816135,False,False,False,True,False,False,False,True,False,False
42.2,3186.7,10891.47,12,659.9,2,0,907.6225,0.28481579601212603,True,False,False,False,False,True,False,True,False,False
37.9,4264.07,32820.49,48,776.8,1,0,683.7602083333333,0.12949295926816135,False,False,False,False,False,False,False,False,False,True
41.3,6009.62,2318.99,60,694.6,3,1,38.649833333333326,0.006431327316705558,False,False,True,False,False,True,False,True,False,False
40.9,4264.07,32760.29,12,541.4,3,2,2730.0241666666666,0.12949295926816135,False,False,True,False,False,False,False,True,False,False
28.2,3596.5,11724.77,24,753.4,1,0,488.53208333333333,0.13583541831641294,True,False,False,False,False,False,False,True,False,False
30.8,3880.22,30814.26,48,795.4,4,2,641.96375,0.16544519340283492,False,False,False,True,False,True,False,True,False,False
43.9,2435.14,11979.15,36,409.2,1,0,332.75416666666666,0.13664683151695523,False,False,False,False,False,True,False,True,False,False
46.0,1707.21,2817.55,24,440.0,3,2,117.39791666666667,0.06876594910936978,True,False,False,False,False,True,False,False,False,True
58.6,1659.78,17449.87,24,487.6,3,3,727.0779166666666,0.43805679806124825,True,False,False,False,False,False,False,True,False,False
49.7,8691.71,14078.44,36,563.6,4,4,391.0677777777778,0.04499319205632101,True,False,False,False,True,False,False,False,True,False
49.2,2062.22,7590.17,24,576.9,1,0,316.25708333333336,0.15335758638736774,True,False,False,False,False,True,False,False,False,True
29.4,9707.69,33075.93,36,741.5,2,1,918.7758333333334,0.09464412567633414,True,False,False,False,False,True,False,False,False,True
37.2,4278.0,8110.81,48,348.6,2,0,168.97520833333334,0.03949864608189502,False,True,False,False,True,False,False,True,False,False
22.1,10079.22,4650.66,24,659.7,3,0,193.7775,0.019225445997581712,True,False,False,False,False,True,False,False,False,True
37.2,5554.16,32902.73,60,820.5,2,0,548.3788333333334,0.09873299154975794,True,False,False,False,False,True,False,False,False,True
43.2,4380.3,3854.92,24,616.6,5,3,160.62166666666667,0.036669101728186576,False,False,False,True,False,False,False,False,False,True
