equipamento_id,tempo_operacao_horas,tipo_combustivel,turno_trabalho,regiao_instalacao,temperatura_celsius,vibracao_mm_s,pressao_psi,dias_desde_ultima_revisao,historico_falhas_anteriores,ruido_frequencia_hz,tag_rfid_inventario,firmware_serial_hash,falha_maquina
EQP-30000,12311.9,Diesel,Manha,Oeste,76.8,1.17,99.2,252,0,0.19,960139,FW-9082F,1
EQP-30001,5375.9,Diesel,Tarde,Leste,65.8,2.5,82.5,204,1,6.8,157884,FW-945FC,1
EQP-30002,,Eletrico,Manha,Oeste,41.4,3.35,77.9,361,0,-3.1,890278,FW-29997,1
EQP-30003,7507.9,Eletrico,Tarde,Sul,104.2,3.95,116.0,206,0,5.22,619581,FW-C818A,1
EQP-30004,11892.7,Diesel,Tarde,Oeste,71.9,10.94,114.2,87,1,-33.68,204222,FW-E0FDC,1
EQP-30005,,Eletrico,Noite,Leste,71.2,8.4,89.6,112,0,24.86,990959,FW-63376,1
EQP-30006,632.2,Eletrico,Noite,Sul,34.5,22.53,110.4,315,1,-30.18,750277,FW-695ED,1
EQP-30007,2558.2,Diesel,Tarde,Sul,72.3,4.35,110.6,170,0,-38.64,973553,FW-23430,1
EQP-30008,,Diesel,Noite,Oeste,55.1,2.9,113.9,69,0,-50.55,941542,FW-6CC17,0
EQP-30009,3424.5,Diesel,Tarde,Leste,91.3,0.53,117.0,97,0,-85.65,723918,FW-B6F9C,1
EQP-30010,11348.2,Diesel,Tarde,Norte,40.8,6.77,112.0,35,2,-6.23,661646,FW-A9DE0,1
EQP-30011,,Gas_Natural,Tarde,Leste,78.5,1.34,70.7,284,0,-46.82,970200,FW-B3990,1
EQP-30012,545.4,Diesel,Tarde,Sul,127.5,1.94,116.8,230,1,26.07,212240,FW-A64DF,1
EQP-30013,8764.5,Diesel,Noite,Leste,80.0,,67.8,101,1,-54.95,744452,FW-7AB8D,1
EQP-30014,14482.7,Eletrico,Manha,Leste,103.3,17.19,112.3,81,0,7.12,999020,FW-2619A,1
EQP-30015,5549.9,Gas_Natural,Manha,Leste,71.7,12.18,111.1,190,0,-14.29,103999,FW-DDBA9,1
EQP-30016,6060.5,Eletrico,Tarde,Leste,61.8,3.13,109.4,191,0,-64.35,366796,FW-B7CBE,0
EQP-30017,6975.0,Diesel,Manha,Leste,89.5,3.24,107.2,206,0,-43.47,873818,FW-AE9D8,1
EQP-30018,12206.4,Gas_Natural,Tarde,Leste,68.1,3.49,119.9,302,1,-39.64,183953,FW-7633A,1
EQP-30019,4907.8, DIESEL ,Tarde,Oeste,55.8,10.39,100.8,3,2,33.94,337636,FW-D19D4,1
