cliente_id,idade,tipo_contrato,forma_pagamento,estado_civil,mensalidade_reais,uso_dados_gb,tempo_contrato_meses,chamadas_suporte_12m,reclamacoes_anatel,ruido_sinal_db,codigo_sorteio_promocional,ip_ultimo_acesso_hash,cancelou_plano
CLI-10000,46.0,Bienal,Pix,Casado,,5.6,68,1,0,-26.23,4327,IP-450E7,1
CLI-10001,38.3, Mensal ,Cartao_Credito,Casado,84.02,115.5,35,0,1,2.03,9109,IP-F1D77,1
CLI-10002,,MENSAL,Pix,Solteiro,35.86,5.8,45,3,0,-3.92,3762,IP-87328,1
CLI-10003,58.3,Anual,Boleto,Divorciado,31.75,49.9,41,1,1,5.97,3081,IP-42DE1,0
CLI-10004,37.2,MENSAL,Pix,Casado,79.36,46.8,61,2,0,26.28,4249,IP-23A07,0
CLI-10005,37.2,Bienal,Boleto,Casado,205.85,43.9,15,1,0,-1.13,2070,IP-AA4EB,1
CLI-10006,59.0,mensal,Pix,Divorciado,229.04,33.9,67,2,0,-19.35,4543,IP-5A355,1
CLI-10007,49.2,MENSAL,Pix,Solteiro,116.19,91.1,59,1,0,14.13,8042,IP-659F3,1
CLI-10008,34.4, Mensal ,Boleto,Solteiro,153.9,53.5,2,2,0,-42.09,7884,IP-6168E,1
CLI-10009,46.5,Anual,Cartao_Credito,Casado,185.33,73.5,6,3,0,1.29,8603,IP-47073,1
CLI-10010,,mensal,Debito_Automatico,Casado,239.65,10.5,57,1,1,32.29,6058,IP-BC8F8,1
CLI-10011,34.4, Mensal ,Pix,Casado,230.85,7.3,16,1,0,-17.39,2495,IP-EC4BB,1
CLI-10012,42.9,MENSAL,Debito_Automatico,Solteiro,42.58,6.3,23,3,0,-15.15,3072,IP-E3DB3,1
CLI-10013,,MENSAL,Pix,Casado,84.6,12.2,41,1,0,46.38,7329,IP-C9C61,1
CLI-10014,19.3, Mensal ,Boleto,Solteiro,,54.5,30,1,0,5.69,5309,IP-4628D,0
CLI-10015,33.3,Anual,Cartao_Credito,Solteiro,165.64,35.7,67,2,1,2.56,8221,IP-1C941,0
CLI-10016,27.8,Anual,Cartao_Credito,Solteiro,186.31,67.8,55,2,1,6.82,9847,IP-E50D4,0
CLI-10017,43.8, Mensal ,Debito_Automatico,Solteiro,97.82,14.6,4,1,0,-23.36,6736,IP-DDAF6,1
CLI-10018,29.1,MENSAL,Cartao_Credito,Solteiro,217.85,25.6,28,5,0,28.76,9875,IP-7E9C1,1
CLI-10019,,Anual,Cartao_Credito,Divorciado,129.62,103.7,50,1,0,38.91,7662,IP-71588,0
CLI-10020,57.6,MENSAL,Pix,Casado,,128.5,28,0,0,-7.12,2178,IP-5E36F,0
CLI-10021,37.3,mensal,Pix,Divorciado,30.09,119.6,53,2,0,10.2,5156,IP-6075C,0
CLI-10022,40.8,mensal,Cartao_Credito,Casado,54.09,81.7,67,1,0,24.1,3749,IP-39020,0
CLI-10023,22.9,Anual,Cartao_Credito,Solteiro,96.39,57.4,26,1,0,25.29,5364,IP-E124F,0
CLI-10024,33.5,Bienal,Boleto,Casado,35.61,115.2,39,2,1,28.69,5306,IP-86159,1
CLI-10025,41.3,Anual,Cartao_Credito,Divorciado,202.11,61.4,13,0,1,-36.93,8184,IP-BBC5A,1
CLI-10026,26.2, Mensal ,Pix,Divorciado,41.61,143.5,71,4,0,16.94,8056,IP-4DA08,0
CLI-10027,44.5,MENSAL,Cartao_Credito,Casado,194.78,6.1,54,2,1,38.3,5350,IP-F1FC3,1
CLI-10028,32.8,ANUAL,Pix,Solteiro,41.57,119.6,13,0,1,14.71,6647,IP-D9F5E,0
CLI-10029,36.5, Mensal ,Pix,Solteiro,,41.5,59,4,0,38.58,6117,IP-C5432,0
CLI-10030,32.8,Bienal,Boleto,Solteiro,215.08,10.3,4,3,1,-0.16,9972,IP-72259,1
CLI-10031,62.2,Bienal,Cartao_Credito,Divorciado,239.24,15.9,57,3,1,9.55,9388,IP-45C72,1
CLI-10032,39.8, Mensal ,Boleto,Solteiro,121.2,91.0,60,4,0,-0.88,6724,IP-2EAD8,1
CLI-10033,27.3,Bienal,Boleto,Casado,243.39,36.7,47,1,0,13.41,2781,IP-6B60A,1
CLI-10034,49.9,mensal,Cartao_Credito,Solteiro,167.91,187.9,5,3,2,19.86,9311,IP-BEFC6,1
CLI-10035,25.3,ANUAL,Pix,Casado,121.48,10.6,36,2,0,-29.6,3613,IP-4F29F,1
CLI-10036,42.5,mensal,Boleto,Solteiro,206.62,28.9,19,1,0,1.86,9644,IP-A5312,1
CLI-10037,,mensal,Pix,Solteiro,94.97,23.1,30,1,2,0.69,1989,IP-97090,1
CLI-10038,24.1,Anual,Cartao_Credito,Solteiro,88.48,37.7,41,3,0,-13.6,2948,IP-87194,1
