peca_id,tipo_maquina,material_peca,fluido_corte,turno_operacao,rotacao_rpm,avancao_mm_min,profundidade_corte_mm,desgaste_ferramenta_um,temperatura_mancal_c,pressao_hidraulica_bar,tempo_ciclo_robo_seg,dias_desde_calibracao,ruido_sensor_vibracao_hz,codigo_lote_materia_prima,clp_ip_hash,peca_defeituosa
PEC-80000, TORNO_CNC ,Aco_Carbono,Soluvel,Turno_2,3500.5,235.2,1.82,5.3,51.9,117.8,34.3,44,-10.77,1784,CLP-E30F6,1
PEC-80001,Celula_Robotica,Aluminio,Soluvel,Turno_2,2923.3,276.8,0.92,11.3,72.5,111.7,44.4,122,17.66,9106,CLP-AA648,1
PEC-80002,Fresadora,Aco_Inox,Soluvel,Turno_1,3102.2,279.8,2.24,163.7,76.5,127.0,38.9,161,1.57,2330,CLP-88F27,1
PEC-80003,torno_cnc,Latao,Soluvel,Turno_3,3565.6,279.2,3.06,56.2,74.5,122.7,41.9,14,-3.19,1025,CLP-A2F77,1
PEC-80004,Torno_CNC,Aluminio,Seco,Turno_3,3989.3,318.6,2.61,38.4,76.6,128.8,41.5,18,-6.37,9767,CLP-E04E5,1
PEC-80005,Torno_CNC,Aco_Inox,Soluvel,Turno_2,3442.1,269.3,0.62,10.0,56.0,138.7,40.0,178,-10.17,2625,CLP-92604,1
PEC-80006,Torno_CNC,Aco_Carbono,Soluvel,Turno_2,3260.1,316.3,2.82,23.8,75.2,104.9,38.9,107,11.43,5967,CLP-972FA,1
PEC-80007,Centro_Usinagem,Aco_Inox,Soluvel,Turno_2,2967.6,261.5,1.43,,63.1,116.9,37.5,170,2.5,8942,CLP-9AE3F,1
PEC-80008,Fresadora,Aluminio,Sintetico,Turno_1,2745.2,325.6,1.87,84.2,89.5,107.3,42.0,33,-12.3,2911,CLP-BCACA,1
PEC-80009,Fresadora,Aco_Inox,Soluvel,Turno_1,3699.3,310.3,1.75,21.8,75.7,106.2,33.3,11,13.6,5951,CLP-6913D,1
PEC-80010,Torno_CNC,Aco_Carbono,Soluvel,Turno_2,3130.9,296.1,3.93,287.7,70.2,149.0,49.8,65,-5.45,8627,CLP-1E799,1
PEC-80011,Celula_Robotica,Aluminio,Soluvel,Turno_3,3717.8,289.5,0.69,10.3,85.6,101.0,37.9,90,18.88,5699,CLP-94422,1
PEC-80012,Centro_Usinagem,Aluminio,Soluvel,Turno_1,3051.7,365.1,1.89,22.1,58.9,107.7,48.6,71,-6.55,5256,CLP-4D671,1
PEC-80013,Torno_CNC,Aco_Inox,Seco,Turno_2,2907.8,303.8,2.08,77.9,71.6,152.9,39.7,162,-12.23,9494,CLP-AC8EC,1
PEC-80014,Torno_CNC,Aluminio,Soluvel,Turno_3,3389.4,207.5,2.98,41.7,91.8,118.1,53.3,136,-6.76,1139,CLP-9FC30,1
PEC-80015,Torno_CNC,Aco_Carbono,Sintetico,Turno_1,3165.6,262.3,3.66,,74.8,119.0,45.3,64,16.85,6260,CLP-6ADF4,1
PEC-80016,Torno_CNC,Aluminio,Seco,Turno_1,2657.5,236.8,3.41,88.4,66.8,126.0,36.4,93,3.85,9932,CLP-56B6B,1
PEC-80017,torno_cnc,Aluminio,Semi_Sintetico,Turno_3,4017.8,353.2,3.51,29.8,61.8,101.9,65.0,122,-0.97,3949,CLP-C59EF,1
PEC-80018, TORNO_CNC ,Aluminio,Seco,Turno_1,2917.9,312.6,1.27,14.4,53.4,106.2,41.7,35,-10.68,1306,CLP-B31DB,1
PEC-80019,Torno_CNC,Aco_Carbono,Seco,Turno_1,3617.4,351.6,4.15,46.4,61.5,110.8,40.5,116,54.33,3018,CLP-94FA9,1
PEC-80020,Fresadora,Aluminio,Soluvel,Turno_1,3578.8,212.0,2.16,,55.2,135.6,41.1,46,6.29,7329,CLP-969B0,1
PEC-80021,Torno_CNC,Aco_Carbono,Sintetico,Turno_1,2633.2,305.1,0.54,56.8,62.2,130.1,48.2,147,23.92,4203,CLP-CAA32,1
PEC-80022,Torno_CNC,Aco_Carbono,Soluvel,Turno_3,2748.9,181.8,3.17,30.1,63.7,110.5,33.4,40,12.64,9156,CLP-3E628,1
PEC-80023, TORNO_CNC ,Aluminio,Soluvel,Turno_2,3064.3,170.4,2.92,63.3,76.9,118.0,46.1,123,-13.81,5068,CLP-6955F,1
PEC-80024, TORNO_CNC ,Aco_Inox,Semi_Sintetico,Turno_2,2810.5,230.2,1.0,86.3,60.1,131.7,31.5,42,12.77,9189,CLP-4F74D,1
PEC-80025,Fresadora,Aluminio,Sintetico,Turno_2,3976.9,325.6,4.34,53.5,57.8,84.2,44.4,44,0.06,6344,CLP-7995A,1
PEC-80026,Torno_CNC,Aco_Carbono,Sintetico,Turno_3,3109.9,200.4,2.75,52.6,75.6,124.5,54.0,174,3.47,6175,CLP-AE165,1
PEC-80027,torno_cnc,Aco_Inox,Sintetico,Turno_1,3600.4,249.2,2.38,36.0,73.4,131.4,40.6,84,14.58,5930,CLP-72E17,1
PEC-80028,torno_cnc,Aluminio,Soluvel,Turno_1,3431.1,309.4,2.09,,62.1,106.2,52.1,169,15.2,2973,CLP-2F01E,1
PEC-80029,Torno_CNC,Aco_Carbono,Semi_Sintetico,Turno_3,3318.8,292.3,1.34,130.9,72.2,129.8,31.6,143,-17.89,8259,CLP-3E34F,1
PEC-80030,Fresadora,Aco_Inox,Soluvel,Turno_3,3218.1,360.8,4.31,41.3,61.9,120.2,40.0,145,-5.33,7729,CLP-5D671,1
PEC-80031,Torno_CNC,Aluminio,Soluvel,Turno_1,3756.7,250.2,3.31,69.2,62.4,147.2,35.2,52,20.21,5211,CLP-4BD00,1
PEC-80032,Torno_CNC,Aco_Inox,Semi_Sintetico,Turno_1,2828.7,227.9,2.77,,83.6,112.2,60.3,68,-18.43,1016,CLP-59124,1
PEC-80033,Celula_Robotica,Aco_Inox,Soluvel,Turno_2,3976.9,195.3,3.02,33.3,63.3,128.9,41.7,130,7.48,8359,CLP-3BE95,1
PEC-80034,Celula_Robotica,Aco_Carbono,Semi_Sintetico,Turno_1,2620.7,231.6,3.86,43.1,60.1,98.0,39.8,135,0.72,5306,CLP-586DE,1
PEC-80035,Centro_Usinagem,Aco_Inox,Sintetico,Turno_2,3551.7,194.8,3.04,50.6,65.2,121.1,42.9,147,-18.19,3905,CLP-C4BCA,1
PEC-80036,Torno_CNC,Aco_Inox,Soluvel,Turno_1,2567.7,160.2,0.96,25.8,41.4,132.2,45.1,76,-10.04,4883,CLP-AB8A7,1
PEC-80037,Torno_CNC,Aco_Carbono,Semi_Sintetico,Turno_1,,348.2,3.29,20.4,63.0,112.1,42.0,78,8.89,1312,CLP-50B19,1
PEC-80038,Fresadora,Aco_Inox,Sintetico,Turno_2,3242.0,252.4,2.76,14.6,68.1,136.8,35.5,126,-8.03,3838,CLP-2BD8C,1
