data_hora,faturamento_milhares_reais,num_pedidos,ticket_medio_reais,visitas_site
2026-01-01 00:00:00,51.74,254,203.7,4437
2026-01-01 01:00:00,51.62,246,209.84,4399
2026-01-01 02:00:00,56.34,254,221.81,4414
2026-01-01 03:00:00,61.09,265,230.53,4708
2026-01-01 04:00:00,56.25,264,213.07,4373
2026-01-01 05:00:00,57.08,263,217.03,4777
2026-01-01 06:00:00,63.74,300,212.47,5400
2026-01-01 07:00:00,60.66,282,215.11,4913
2026-01-01 08:00:00,55.57,266,208.91,4920
2026-01-01 09:00:00,57.87,252,229.64,4724
2026-01-01 10:00:00,52.73,257,205.18,4304
2026-01-01 11:00:00,50.83,232,219.09,4023
2026-01-01 12:00:00,51.27,262,195.69,4562
2026-01-01 13:00:00,41.69,177,235.54,2998
2026-01-01 14:00:00,40.45,208,194.47,3910
2026-01-01 15:00:00,42.9,196,218.88,3489
2026-01-01 16:00:00,40.09,171,234.44,3025
2026-01-01 17:00:00,43.97,191,230.21,3037
2026-01-01 18:00:00,39.45,173,228.03,3241
2026-01-01 19:00:00,38.0,177,214.69,2938
2026-01-01 20:00:00,48.9,228,214.47,4116
2026-01-01 21:00:00,44.29,191,231.88,3493
2026-01-01 22:00:00,47.01,211,222.8,4070
2026-01-01 23:00:00,43.75,229,191.05,3860
2026-01-02 00:00:00,48.94,246,198.94,3824
2026-01-02 01:00:00,53.33,247,215.91,4483
2026-01-02 02:00:00,50.88,230,221.22,4500
2026-01-02 03:00:00,57.92,262,221.07,4964
2026-01-02 04:00:00,55.81,260,214.65,4722
2026-01-02 05:00:00,57.72,244,236.56,4294
2026-01-02 06:00:00,56.95,252,225.99,4697
2026-01-02 07:00:00,65.3,269,242.75,4647
2026-01-02 08:00:00,58.0,267,217.23,4901
2026-01-02 09:00:00,53.11,249,213.29,4583
2026-01-02 10:00:00,58.07,254,228.62,4784
2026-01-02 11:00:00,49.02,244,200.9,4944
2026-01-02 12:00:00,51.99,216,240.69,3966
2026-01-02 13:00:00,42.37,169,250.71,2940
