id_cliente,renda_mensal_rs,score_credito,valor_emprestimo_rs,prazo_meses,tipo_contrato,status_pagamento
5001,6530.74,650,36778.39,60,Imobiliário,Adimplente
5002,9569.99,727,28298.95,12,CDC,Adimplente
5003,5325.79,949,8309.27,60,CDC,Adimplente
5004,1889.12,528,19211.9,36,Consignado,Inadimplente
5005,5401.81,509,23285.6,24,Cartão Crédito,Adimplente
5006,,730,4730.65,24,Cartão Crédito,Inadimplente
5007,7235.38,593,33558.07,36,Consignado,Adimplente
5008,7605.37,881,22255.18,48,CDC,Adimplente
5009,8592.73,403,8312.86,12,Imobiliário,Inadimplente
5010,3371.31,503,7633.92,12,Cartão Crédito,Inadimplente
5011,5689.08,352,38207.97,24,Consignado,Adimplente
5012,2593.11,674,20430.24,24,Imobiliário,Adimplente
5013,27111.78,353,39284.22,24,Consignado,Inadimplente
5014,2174.72,575,43865.87,36,Consignado,Inadimplente
5015,1535.58,634,37269.38,48,Consignado,Inadimplente
5016,2063.91,330,18598.82,12,CDC,Adimplente
5017,6734.39,434,1000.0,60,CDC,Inadimplente
5018,3572.02,357,28755.96,36,Consignado,Inadimplente
5019,3576.56,404,50098.92,12,Cartão Crédito,Adimplente
5020,12355.61,565,24575.32,48,Imobiliário,Adimplente
5021,10324.11,821,1122.21,36,Cartão Crédito,Adimplente
5022,,795,16901.46,12,CDC,Inadimplente
5023,2320.86,552,22795.2,36,Imobiliário,Adimplente
5024,8104.68,594,11824.14,12,Consignado,Adimplente
5025,9776.32,457,1000.0,12,Cartão Crédito,Inadimplente
5026,4230.02,848,23825.79,48,Cartão Crédito,Adimplente
5027,4974.44,930,15581.49,60,Consignado,Adimplente
5028,2539.3,366,46272.3,48,Cartão Crédito,Inadimplente
5029,7147.11,598,26212.4,12,CDC,Adimplente
5030,5000.02,762,30634.95,36,Consignado,Adimplente
5031,3950.7,400,23570.97,48,Cartão Crédito,Adimplente
5032,1716.97,355,26124.8,60,Consignado,Adimplente
5033,10166.58,631,5172.41,12,Imobiliário,Adimplente
5034,4844.9,692,12518.0,48,Consignado,Adimplente
5035,2249.17,680,38063.38,48,Cartão Crédito,Inadimplente
5036,4763.35,391,27513.54,48,CDC,Adimplente
5037,5460.38,746,20217.92,48,Consignado,Adimplente
5038,4111.22,408,30834.05,36,Consignado,Inadimplente
5039,5931.73,616,31070.34,60,Cartão Crédito,Adimplente
5040,4548.39,467,48890.74,60,CDC,Inadimplente
5041,11832.32,734,26956.8,12,CDC,Adimplente
5042,1693.17,741,12249.91,24,Imobiliário,Inadimplente
5043,1893.14,517,23611.64,36,Imobiliário,Inadimplente
5044,2167.67,521,32290.79,12,Cartão Crédito,Adimplente
5045,5601.07,827,36947.91,12,CDC,Adimplente
5046,5130.61,577,5619.62,48,CDC,Adimplente
5047,9291.59,868,28044.48,24,Imobiliário,Adimplente
5048,6120.17,873,14232.94,24,Imobiliário,Adimplente
5049,3985.0,765,18200.42,36,Cartão Crédito,Adimplente
5050,18326.27,901,35150.08,24,CDC,Adimplente
5051,2582.88,883,33954.98,12,Consignado,Adimplente
5052,7768.18,329,16862.17,24,Imobiliário,Inadimplente
5053,3447.76,658,23105.9,24,Cartão Crédito,Adimplente
5054,5161.75,587,18567.02,60,CDC,Adimplente
5055,6047.44,385,59700.44,12,CDC,Adimplente
5056,5015.58,533,28340.3,24,Imobiliário,Inadimplente
5057,2029.95,612,14926.22,24,Cartão Crédito,Inadimplente
5058,3547.86,664,40866.01,48,Consignado,Adimplente
5059,4384.89,568,41289.54,24,Imobiliário,Adimplente
5060,8117.68,430,46500.05,24,Cartão Crédito,Inadimplente
5061,3552.23,650,50055.92,60,CDC,Adimplente
5062,10285.67,479,33492.58,12,Consignado,Adimplente
5063,3531.7,779,20801.78,36,Cartão Crédito,Adimplente
5064,4285.3,462,22568.6,12,Consignado,Inadimplente
5065,7068.63,395,21495.1,48,Cartão Crédito,Adimplente
5066,4561.91,809,20154.94,12,Cartão Crédito,Adimplente
5067,12785.2,664,39879.24,24,Cartão Crédito,Adimplente
5068,5279.29,652,25008.65,48,Cartão Crédito,Adimplente
5069,4088.7,735,36657.06,12,Consignado,Adimplente
5070,1583.56,382,33118.2,48,Imobiliário,Inadimplente
5071,3368.93,524,11816.14,36,Consignado,Inadimplente
5072,2744.61,711,4393.88,12,Cartão Crédito,Adimplente
5073,6325.61,417,10160.04,24,Consignado,Adimplente
5074,2317.41,781,19879.52,48,Consignado,Inadimplente
5075,2303.92,491,26611.94,60,Consignado,Inadimplente
5076,2235.45,890,17220.4,48,Cartão Crédito,Inadimplente
5077,1969.82,889,33436.78,60,Consignado,Adimplente
5078,2803.83,406,18667.78,24,CDC,Inadimplente
5079,9098.06,681,28083.49,36,Cartão Crédito,Adimplente
5080,6719.68,689,26410.98,60,Consignado,Adimplente
5081,6151.41,543,45813.2,36,CDC,Inadimplente
5082,7086.73,884,13297.11,48,Consignado,Adimplente
5083,2598.7,767,51501.03,24,Imobiliário,Adimplente
5084,9144.99,837,17867.8,60,Consignado,Adimplente
5085,2016.92,509,8919.32,48,Consignado,Inadimplente
5086,,903,22397.02,12,Imobiliário,Inadimplente
5087,4592.94,936,63881.67,48,Cartão Crédito,Adimplente
5088,1880.08,372,35742.46,36,Imobiliário,Inadimplente
5089,6084.35,934,32235.57,24,Cartão Crédito,Adimplente
5090,3214.27,608,34542.24,24,Imobiliário,Adimplente
5091,6870.25,889,15764.88,48,Consignado,Adimplente
5092,3876.64,485,28912.53,12,Consignado,Adimplente
5093,2198.31,552,25030.03,36,Cartão Crédito,Inadimplente
5094,6144.94,312,46708.8,48,Cartão Crédito,Inadimplente
5095,,598,23695.75,48,CDC,Inadimplente
5096,3862.27,375,20460.68,24,CDC,Adimplente
5097,,350,11022.41,36,Consignado,Adimplente
5098,4866.95,448,26680.17,12,Consignado,Inadimplente
5099,5336.66,421,28515.42,24,CDC,Inadimplente
5100,3165.65,510,10580.94,48,CDC,Inadimplente
5101,12309.22,579,30437.96,24,Cartão Crédito,Adimplente
5102,8754.85,837,27798.15,24,Imobiliário,Adimplente
5103,5807.8,455,37161.35,60,Cartão Crédito,Inadimplente
5104,5876.92,537,39548.42,24,CDC,Inadimplente
5105,2518.11,675,26131.35,24,Consignado,Adimplente
5106,5243.2,381,12563.62,36,CDC,Adimplente
5107,2273.16,791,15032.54,24,Consignado,Inadimplente
5108,2044.21,655,46145.53,12,Consignado,Inadimplente
5109,27885.34,572,26985.87,48,Consignado,Adimplente
5110,4908.5,879,45953.85,36,Consignado,Adimplente
5111,3473.49,343,30983.26,24,Imobiliário,Adimplente
5112,2689.68,872,34044.83,12,CDC,Adimplente
5113,4741.49,422,36264.68,48,Cartão Crédito,Inadimplente
5114,1678.03,648,10322.33,36,Consignado,Adimplente
5115,1848.14,629,28683.41,12,Consignado,Inadimplente
5116,1616.93,708,10156.01,24,Cartão Crédito,Inadimplente
5117,3920.21,622,21581.05,60,Cartão Crédito,Adimplente
5118,4712.33,410,32682.04,60,Consignado,Inadimplente
5119,1725.81,388,12695.99,36,Cartão Crédito,Inadimplente
5120,5970.72,732,31712.05,12,Cartão Crédito,Adimplente
5121,2416.57,398,7019.57,48,Imobiliário,Adimplente
5122,,838,38719.84,12,Cartão Crédito,Inadimplente
5123,15540.9,900,17026.75,60,CDC,Adimplente
5124,5611.65,445,12674.59,36,CDC,Inadimplente
5125,9015.31,556,7775.73,24,CDC,Adimplente
5126,11861.18,488,18047.75,12,Consignado,Inadimplente
5127,3834.48,539,2108.66,60,CDC,Adimplente
5128,5741.14,802,18419.21,48,Imobiliário,Adimplente
5129,8186.17,570,38193.84,36,CDC,Adimplente
5130,3043.51,819,22735.46,24,Consignado,Adimplente
5131,2560.48,849,10869.78,12,Imobiliário,Adimplente
5132,11754.71,413,27715.16,48,CDC,Inadimplente
5133,6035.07,638,26654.75,24,Imobiliário,Adimplente
5134,2368.19,867,48479.32,60,Imobiliário,Inadimplente
5135,3586.6,658,34488.65,60,Consignado,Adimplente
5136,7071.48,949,28667.18,48,Consignado,Adimplente
5137,4272.01,913,35860.8,60,Imobiliário,Adimplente
5138,5173.9,633,23387.43,36,CDC,Adimplente
5139,6405.19,468,24095.04,48,Consignado,Inadimplente
5140,4905.1,638,44907.28,60,Imobiliário,Adimplente
5141,4218.45,560,5373.05,12,Cartão Crédito,Adimplente
5142,6346.63,498,36615.35,60,Cartão Crédito,Inadimplente
5143,6051.22,510,23670.5,36,Consignado,Inadimplente
5144,4978.68,586,21502.13,24,CDC,Adimplente
5145,3060.85,771,18365.25,24,Cartão Crédito,Adimplente
5146,,781,26844.09,60,Cartão Crédito,Inadimplente
5147,13824.49,322,24477.65,24,Cartão Crédito,Inadimplente
5148,1917.26,859,20023.57,60,CDC,Inadimplente
5149,2594.33,408,16568.11,36,CDC,Inadimplente
5150,3873.23,595,2136.03,24,Consignado,Adimplente
5151,,305,16314.36,12,Consignado,Adimplente
5152,2125.59,849,18852.46,60,Cartão Crédito,Inadimplente
5153,2634.99,502,26814.77,24,CDC,Inadimplente
5154,1738.22,624,48557.03,36,Imobiliário,Inadimplente
5155,5784.44,543,17608.53,36,Cartão Crédito,Inadimplente
5156,2452.29,626,12715.23,12,Consignado,Inadimplente
5157,3222.44,346,16426.05,36,CDC,Inadimplente
5158,3552.58,890,26840.14,36,Consignado,Adimplente
5159,9267.52,921,32063.63,24,Consignado,Adimplente
5160,3354.62,312,33740.14,60,CDC,Inadimplente
5161,2049.21,679,34932.5,48,Cartão Crédito,Adimplente
5162,4100.5,664,36630.77,36,CDC,Adimplente
5163,13034.96,901,21653.4,36,Cartão Crédito,Adimplente
5164,4774.92,641,49637.68,48,Consignado,Adimplente
5165,15841.54,520,20742.78,36,CDC,Inadimplente
5166,7938.34,372,26312.09,24,Imobiliário,Inadimplente
5167,1628.2,924,40549.92,24,Cartão Crédito,Inadimplente
5168,5259.4,345,31797.1,48,Imobiliário,Inadimplente
5169,2682.81,803,1000.0,36,Cartão Crédito,Adimplente
5170,4370.39,573,25067.63,36,CDC,Adimplente
5171,2646.58,854,35343.58,60,Imobiliário,Adimplente
5172,3001.66,507,8878.36,36,CDC,Adimplente
5173,10481.5,914,34008.31,24,Cartão Crédito,Adimplente
5174,2310.19,423,29681.85,12,Cartão Crédito,Adimplente
5175,8753.19,309,39207.05,12,Cartão Crédito,Inadimplente
5176,1608.26,628,16696.82,12,Cartão Crédito,Inadimplente
5177,1833.46,486,36950.72,12,Consignado,Adimplente
5178,8250.74,842,26915.3,36,Cartão Crédito,Adimplente
5179,4985.15,359,46192.6,36,Imobiliário,Inadimplente
5180,6313.55,741,58432.6,60,Cartão Crédito,Adimplente
5181,2322.45,516,43459.97,36,CDC,Inadimplente
5182,4195.73,301,30766.22,12,Consignado,Inadimplente
5183,6177.52,835,52852.05,48,Imobiliário,Adimplente
5184,4954.57,655,32241.74,48,Consignado,Adimplente
5185,3733.31,925,14104.65,24,Consignado,Adimplente
5186,12747.2,464,24528.72,24,Consignado,Adimplente
5187,5446.24,390,34140.07,36,CDC,Inadimplente
5188,9841.42,466,34911.45,48,Consignado,Inadimplente
5189,6079.69,506,11496.82,12,Consignado,Adimplente
5190,6154.22,581,11877.61,12,Cartão Crédito,Adimplente
5191,1791.91,364,20904.28,12,CDC,Inadimplente
5192,3059.08,815,31414.52,36,Imobiliário,Adimplente
5193,8340.87,456,32950.75,36,Imobiliário,Inadimplente
5194,2426.63,605,26695.66,60,Imobiliário,Inadimplente
5195,1929.59,694,14986.86,12,CDC,Inadimplente
5196,2881.39,373,45843.32,12,Imobiliário,Adimplente
5197,2371.58,486,12135.3,36,CDC,Inadimplente
5198,10579.41,873,40628.09,36,Cartão Crédito,Adimplente
5199,8586.45,636,33865.88,60,Cartão Crédito,Adimplente
5200,3923.8,867,40363.99,60,CDC,Adimplente
5201,1721.57,922,19666.8,24,Imobiliário,Adimplente
5202,5888.06,539,23288.15,48,CDC,Inadimplente
5203,4918.11,832,25660.51,12,CDC,Adimplente
5204,13838.27,440,19283.23,12,Consignado,Inadimplente
5205,4365.12,564,27703.1,60,CDC,Adimplente
5206,2935.23,438,43949.07,60,Consignado,Inadimplente
5207,4061.77,758,9437.99,24,Cartão Crédito,Adimplente
5208,15065.47,369,17113.46,48,Consignado,Adimplente
5209,5671.72,684,15811.06,24,CDC,Adimplente
5210,5401.34,929,23866.98,48,Cartão Crédito,Adimplente
5211,2463.67,497,23373.68,12,Consignado,Adimplente
5212,6263.59,504,34267.78,24,CDC,Inadimplente
5213,6355.84,867,25404.68,60,Cartão Crédito,Adimplente
5214,2835.89,939,28634.6,24,Consignado,Adimplente
5215,3813.83,730,29781.38,24,CDC,Adimplente
5216,2721.48,624,27944.85,12,CDC,Adimplente
5217,2547.75,741,33439.76,60,Imobiliário,Adimplente
5218,,587,23532.12,60,Imobiliário,Inadimplente
5219,2675.19,525,44756.42,36,Consignado,Inadimplente
5220,4325.79,363,55499.44,36,Consignado,Adimplente
