Part_ID,Machine_ID,Shift,Operator,Temperature,Pressure,Humidity,Production_Time,Defect,Defect_Type
PART-1000,Fresadora_03,Manhã,Roberto Lima,73.12,5.55,49.9,53.2,Não,Nenhum
PART-1001,Injetora_04,Manhã,Ana Souza,67.83,5.44,57.5,47.6,Sim,Risco Superficial
PART-1002,Prensa_01,Noite,Ana Souza,73.83,5.78,58.3,37.7,Não,Nenhum
PART-1003,Fresadora_03,Manhã,Roberto Lima,74.64,5.88,52.8,58.7,Não,Nenhum
PART-1004,Fresadora_03,Manhã,Roberto Lima,74.46,5.19,51.5,42.9,Não,Nenhum
PART-1005,Injetora_04,Tarde,Roberto Lima,76.28,4.97,50.0,47.9,Não,Nenhum
PART-1006,Prensa_01,Noite,Fernanda Alves,75.42,4.77,57.3,50.1,Não,Nenhum
PART-1007,Prensa_01,Tarde,Ana Souza,74.11,5.7,50.2,47.9,Não,Nenhum
PART-1008,Fresadora_03,Tarde,Fernanda Alves,72.25,5.06,68.4,52.3,Não,Nenhum
PART-1009,Torno_CNC_02,Manhã,Fernanda Alves,66.69,4.64,52.5,53.6,Não,Nenhum
PART-1010,Fresadora_03,Tarde,Roberto Lima,74.0,5.66,40.4,43.2,Não,Nenhum
PART-1011,Fresadora_03,Noite,Roberto Lima,73.23,6.5,54.8,58.0,Não,Nenhum
PART-1012,Fresadora_03,Manhã,Carlos Silva,73.45,5.5,54.6,42.9,Sim,Porosidade
PART-1013,Fresadora_03,Tarde,Carlos Silva,68.03,5.84,61.7,47.7,Não,Nenhum
PART-1014,Injetora_04,Noite,Fernanda Alves,68.72,5.53,56.7,41.9,Não,Nenhum
PART-1015,Prensa_01,Tarde,Ana Souza,76.19,5.46,50.0,39.6,Não,Nenhum
PART-1016,Injetora_04,Tarde,Roberto Lima,72.36,5.87,53.3,53.4,Não,Nenhum
PART-1017,Injetora_04,Tarde,Roberto Lima,74.89,5.38,57.0,70.0,Sim,Solda Fria
PART-1018,Injetora_04,Manhã,Fernanda Alves,72.6,5.61,42.0,42.1,Sim,Risco Superficial
PART-1019,Fresadora_03,Manhã,Carlos Silva,72.6,5.63,63.0,54.7,Não,Nenhum
PART-1020,Torno_CNC_02,Noite,Ana Souza,75.78,5.23,50.0,42.4,Não,Nenhum
PART-1021,Prensa_01,Noite,Carlos Silva,70.69,5.9,63.5,44.9,Não,Nenhum
PART-1022,Torno_CNC_02,Noite,Carlos Silva,72.84,5.43,57.4,59.1,Não,Nenhum
PART-1023,Injetora_04,Noite,Carlos Silva,70.88,5.2,58.8,36.4,Sim,Risco Superficial
PART-1024,Injetora_04,Tarde,Carlos Silva,70.98,5.71,61.9,34.3,Não,Nenhum
PART-1025,Torno_CNC_02,Tarde,Roberto Lima,71.42,5.14,58.4,44.3,Não,Nenhum
PART-1026,Torno_CNC_02,Noite,Roberto Lima,73.28,5.51,59.0,50.3,Não,Nenhum
PART-1027,Torno_CNC_02,Tarde,Carlos Silva,70.82,5.5,54.0,48.7,Não,Nenhum
PART-1028,Injetora_04,Tarde,Ana Souza,76.9,5.93,57.2,47.9,Não,Nenhum
PART-1029,Injetora_04,Noite,Fernanda Alves,69.37,5.69,51.5,45.3,Não,Nenhum
PART-1030,Prensa_01,Noite,Ana Souza,71.85,5.49,52.9,51.3,Não,Nenhum
PART-1031,Prensa_01,Manhã,Ana Souza,70.96,5.83,66.8,21.7,Não,Nenhum
PART-1032,Injetora_04,Manhã,Ana Souza,77.56,,50.2,39.0,Não,Nenhum
PART-1033,Torno_CNC_02,Manhã,Carlos Silva,73.19,5.72,55.9,44.3,Não,Nenhum
PART-1034,Torno_CNC_02,Tarde,Roberto Lima,76.11,5.5,55.7,50.6,Não,Nenhum
PART-1035,Prensa_01,Manhã,Ana Souza,67.3,4.98,53.1,56.9,Não,Nenhum
PART-1036,Injetora_04,Tarde,Carlos Silva,73.43,5.07,58.1,37.9,Não,Nenhum
PART-1037,Prensa_01,Tarde,Ana Souza,75.61,5.38,58.5,56.7,Não,Nenhum
PART-1038,Prensa_01,Manhã,Ana Souza,72.79,5.26,49.4,41.4,Não,Nenhum
PART-1039,Fresadora_03,Tarde,Carlos Silva,76.23,5.43,55.6,44.0,Não,Nenhum
PART-1040,Fresadora_03,Manhã,Roberto Lima,70.69,5.52,48.5,49.7,Não,Nenhum
PART-1041,Fresadora_03,Manhã,Roberto Lima,77.43,5.71,59.7,43.4,Não,Nenhum
PART-1042,Torno_CNC_02,Noite,Fernanda Alves,80.55,5.47,56.1,53.9,Sim,Desalinhamento
PART-1043,Injetora_04,Manhã,Carlos Silva,71.23,5.69,55.5,41.8,Não,Nenhum
PART-1044,Injetora_04,Manhã,Fernanda Alves,70.94,5.53,59.0,41.9,Não,Nenhum
PART-1045,Injetora_04,Tarde,Fernanda Alves,77.59,4.71,53.3,53.4,Não,Nenhum
PART-1046,Injetora_04,Noite,Fernanda Alves,78.03,5.12,60.5,38.9,Não,Nenhum
PART-1047,Fresadora_03,Manhã,Roberto Lima,70.67,5.44,49.3,47.0,Não,Nenhum
PART-1048,Torno_CNC_02,Tarde,Carlos Silva,71.03,5.02,63.5,31.7,Não,Nenhum
PART-1049,Torno_CNC_02,Manhã,Fernanda Alves,71.51,5.74,51.7,59.6,Não,Nenhum
PART-1050,Fresadora_03,Manhã,Carlos Silva,67.79,6.11,44.8,54.7,Não,Nenhum
PART-1051,Torno_CNC_02,Tarde,Carlos Silva,69.28,5.99,53.0,67.0,Sim,Solda Fria
PART-1052,Fresadora_03,Tarde,Roberto Lima,68.99,5.41,52.3,55.7,Não,Nenhum
PART-1053,Injetora_04,Tarde,Fernanda Alves,69.81,6.1,53.0,36.0,Não,Nenhum
PART-1054,Fresadora_03,Tarde,Fernanda Alves,72.38,5.56,56.4,50.3,Não,Nenhum
PART-1055,Injetora_04,Noite,Carlos Silva,73.32,5.37,61.6,37.7,Não,Nenhum
PART-1056,Injetora_04,Tarde,Ana Souza,77.93,5.25,53.8,57.6,Sim,Risco Superficial
