id_peca,linha_producao,turno,fornecedor_insumo,diametro_mm,espessura_mm,status_qualidade,tipo_defeito
8001,Linha_Norte,Manhã,Fornecedor_A,50.85,7.564,Defeituoso,Desalinhamento
8002,Linha_Norte,Manhã,Fornecedor_B,49.1,7.403,Defeituoso,Desalinhamento
8003,Linha_Norte,Manhã,Fornecedor_B,50.92,7.631,Defeituoso,Desalinhamento
8004,Linha_Sul,Tarde,Fornecedor_C,49.05,7.482,Defeituoso,Solda Fria
8005,Linha_Norte,Manhã,Fornecedor_B,51.15,7.64,Defeituoso,Desalinhamento
8006,Linha_Sul,Manhã,Fornecedor_B,49.892,7.458,Conforme,Nenhum
8007,Linha_Norte,Noite,Fornecedor_C,49.847,7.493,Defeituoso,Solda Fria
8008,Linha_Norte,Noite,Fornecedor_B,49.977,7.536,Conforme,Nenhum
8009,Linha_Norte,Manhã,Fornecedor_A,50.054,7.473,Defeituoso,Risco Superficial
8010,Linha_Sul,Manhã,Fornecedor_A,49.91,7.448,Conforme,Nenhum
8011,Linha_Sul,Tarde,Fornecedor_B,50.178,7.504,Conforme,Nenhum
8012,Linha_Norte,Manhã,Fornecedor_C,50.369,7.563,Defeituoso,Solda Fria
8013,Linha_Norte,Manhã,Fornecedor_C,50.062,7.451,Defeituoso,Solda Fria
8014,Linha_Norte,Manhã,Fornecedor_C,49.994,7.472,Defeituoso,Porosidade
8015,Linha_Sul,Manhã,Fornecedor_C,49.863,7.497,Defeituoso,Solda Fria
8016,Linha_Sul,Tarde,Fornecedor_B,50.056,7.549,Conforme,Nenhum
8017,Linha_Norte,Noite,Fornecedor_C,50.222,7.534,Defeituoso,Solda Fria
8018,Linha_Sul,Noite,Fornecedor_B,50.292,7.544,Conforme,Nenhum
8019,Linha_Sul,Tarde,Fornecedor_B,50.209,7.561,Conforme,Nenhum
8020,Linha_Sul,Tarde,Fornecedor_A,50.126,7.577,Conforme,Nenhum
8021,Linha_Sul,Tarde,Fornecedor_A,50.062,7.566,Conforme,Nenhum
8022,Linha_Norte,Tarde,Fornecedor_C,49.843,7.403,Defeituoso,Risco Superficial
8023,Linha_Norte,Manhã,Fornecedor_B,49.985,7.502,Conforme,Nenhum
8024,Linha_Sul,Tarde,Fornecedor_A,49.968,7.533,Conforme,Nenhum
8025,Linha_Sul,Noite,Fornecedor_A,49.986,7.567,Conforme,Nenhum
8026,Linha_Sul,Manhã,Fornecedor_C,49.892,7.515,Defeituoso,Solda Fria
8027,Linha_Norte,Noite,Fornecedor_B,50.114,7.477,Conforme,Nenhum
8028,Linha_Norte,Tarde,Fornecedor_B,49.959,7.467,Defeituoso,Risco Superficial
8029,Linha_Sul,Tarde,Fornecedor_B,49.947,7.467,Conforme,Nenhum
8030,Linha_Sul,Manhã,Fornecedor_B,49.893,7.502,Conforme,Nenhum
