data_venda,id_pedido,categoria_produto,valor_venda_rs,canal_venda,tempo_entrega_dias,avaliacao_cliente
2026-01-01,PED-10001,Eletrônicos,802.22,App Mobile,9,1
2026-01-02,PED-10002,Móveis,60.73,Loja Parceira,6,2
2026-01-03,PED-10003,Eletrodomésticos,760.92,App Mobile,10,5
2026-01-04,PED-10004,Moda,360.47,App Mobile,10,2
2026-01-05,PED-10005,Móveis,283.68,App Mobile,10,1
2026-01-06,PED-10006,Informática,289.11,Website,4,4
2026-01-07,PED-10007,Eletrodomésticos,468.22,App Mobile,13,5
2026-01-08,PED-10008,Móveis,58.27,App Mobile,1,4
2026-01-09,PED-10009,Informática,205.68,App Mobile,1,4
2026-01-10,PED-10010,Moda,328.58,Loja Parceira,14,4
2026-01-11,PED-10011,Eletrônicos,250.97,Website,10,1
2026-01-12,PED-10012,Eletrodomésticos,477.11,Website,5,5
2026-01-13,PED-10013,Eletrônicos,48.75,Website,13,4
2026-01-14,PED-10014,Moda,323.36,App Mobile,14,4
2026-01-15,PED-10015,Móveis,220.91,App Mobile,3,5
2026-01-16,PED-10016,Móveis,149.17,Loja Parceira,5,5
2026-01-17,PED-10017,Moda,133.98,App Mobile,5,4
2026-01-18,PED-10018,Moda,272.44,App Mobile,1,3
2026-01-19,PED-10019,Eletrodomésticos,584.09,App Mobile,14,5
2026-01-20,PED-10020,Informática,201.38,App Mobile,8,4
2026-01-21,PED-10021,Eletrônicos,465.35,App Mobile,5,5
2026-01-22,PED-10022,Eletrônicos,158.61,Website,5,5
2026-01-23,PED-10023,Móveis,57.01,App Mobile,9,2
2026-01-24,PED-10024,Móveis,45.87,Website,8,5
2026-01-25,PED-10025,Eletrodomésticos,43.17,App Mobile,13,4
2026-01-26,PED-10026,Moda,149.57,App Mobile,1,4
2026-01-27,PED-10027,Eletrônicos,132.83,App Mobile,3,1
2026-01-28,PED-10028,Eletrodomésticos,346.41,Website,12,5
2026-01-29,PED-10029,Móveis,369.5,App Mobile,7,4
2026-01-30,PED-10030,Móveis,43.05,Website,1,4
2026-01-31,PED-10031,Eletrônicos,92.48,Website,1,5
2026-02-01,PED-10032,Móveis,110.14,Website,5,4
2026-02-02,PED-10033,Móveis,228.3,App Mobile,9,4
2026-02-03,PED-10034,Informática,69.02,App Mobile,6,5
2026-02-04,PED-10035,Moda,65.95,App Mobile,10,5
2026-02-05,PED-10036,Móveis,749.66,Website,2,5
2026-02-06,PED-10037,Informática,437.67,App Mobile,11,5
2026-02-07,PED-10038,Eletrodomésticos,79.81,Website,9,4
2026-02-08,PED-10039,Móveis,160.46,Loja Parceira,6,4
2026-02-09,PED-10040,Eletrodomésticos,139.87,App Mobile,5,3
2026-02-10,PED-10041,Móveis,421.36,App Mobile,5,5
2026-02-11,PED-10042,Eletrônicos,208.45,Website,12,4
2026-02-12,PED-10043,Informática,64.2,App Mobile,3,5
2026-02-13,PED-10044,Informática,365.8,App Mobile,14,2
2026-02-14,PED-10045,Eletrônicos,156.41,Loja Parceira,6,2
2026-02-15,PED-10046,Moda,106.27,App Mobile,13,3
2026-02-16,PED-10047,Informática,147.7,Loja Parceira,4,2
2026-02-17,PED-10048,Eletrodomésticos,202.17,Website,13,4
2026-02-18,PED-10049,Informática,135.06,Website,12,2
2026-02-19,PED-10050,Moda,99.24,App Mobile,10,3
2026-02-20,PED-10051,Eletrodomésticos,157.08,App Mobile,14,1
2026-02-21,PED-10052,Eletrodomésticos,34.84,Website,2,5
2026-02-22,PED-10053,Eletrônicos,400.15,App Mobile,13,5
2026-02-23,PED-10054,Móveis,76.87,App Mobile,3,3
2026-02-24,PED-10055,Eletrônicos,41.22,App Mobile,9,5
2026-02-25,PED-10056,Móveis,295.11,App Mobile,11,4
2026-02-26,PED-10057,Eletrônicos,401.73,App Mobile,11,3
2026-02-27,PED-10058,Móveis,450.27,Website,9,4
2026-02-28,PED-10059,Informática,200.06,App Mobile,6,3
2026-03-01,PED-10060,Eletrodomésticos,87.47,App Mobile,10,5
2026-03-02,PED-10061,Móveis,364.12,Website,10,1
2026-03-03,PED-10062,Informática,330.75,Loja Parceira,14,5
2026-03-04,PED-10063,Moda,100.68,App Mobile,9,2
2026-03-05,PED-10064,Eletrônicos,614.31,App Mobile,4,4
2026-03-06,PED-10065,Moda,57.56,Website,11,5
2026-03-07,PED-10066,Informática,1044.09,Loja Parceira,5,1
2026-03-08,PED-10067,Moda,521.97,Website,10,4
2026-03-09,PED-10068,Moda,321.11,Website,6,4
2026-03-10,PED-10069,Informática,728.2,App Mobile,13,4
2026-03-11,PED-10070,Eletrodomésticos,350.31,Website,9,3
2026-03-12,PED-10071,Móveis,82.82,App Mobile,13,2
2026-03-13,PED-10072,Eletrônicos,175.92,Website,5,4
2026-03-14,PED-10073,Móveis,48.55,Website,8,4
2026-03-15,PED-10074,Eletrônicos,153.43,Loja Parceira,11,4
2026-03-16,PED-10075,Móveis,368.31,App Mobile,1,3
2026-03-17,PED-10076,Moda,152.12,App Mobile,5,4
2026-03-18,PED-10077,Eletrodomésticos,130.23,Website,10,4
2026-03-19,PED-10078,Moda,256.19,Website,1,4
2026-03-20,PED-10079,Eletrodomésticos,544.33,Website,10,4
2026-03-21,PED-10080,Informática,42.19,App Mobile,14,3
2026-03-22,PED-10081,Eletrônicos,151.72,App Mobile,6,3
2026-03-23,PED-10082,Eletrônicos,73.07,Website,7,3
2026-03-24,PED-10083,Informática,327.15,App Mobile,12,4
2026-03-25,PED-10084,Móveis,57.94,Loja Parceira,14,3
2026-03-26,PED-10085,Informática,303.26,App Mobile,5,4
2026-03-27,PED-10086,Informática,114.28,Website,1,4
2026-03-28,PED-10087,Eletrodomésticos,85.45,Website,6,4
2026-03-29,PED-10088,Informática,718.6,Website,10,4
2026-03-30,PED-10089,Eletrônicos,34.67,App Mobile,5,3
2026-03-31,PED-10090,Moda,173.96,Website,6,4
2026-04-01,PED-10091,Eletrodomésticos,35.47,App Mobile,11,5
2026-04-02,PED-10092,Eletrodomésticos,195.22,Website,10,5
2026-04-03,PED-10093,Móveis,203.81,App Mobile,7,5
2026-04-04,PED-10094,Moda,127.03,App Mobile,7,5
2026-04-05,PED-10095,Eletrodomésticos,65.44,App Mobile,2,4
2026-04-06,PED-10096,Informática,148.06,App Mobile,12,2
2026-04-07,PED-10097,Eletrodomésticos,308.89,Loja Parceira,3,4
2026-04-08,PED-10098,Eletrodomésticos,411.27,App Mobile,12,3
2026-04-09,PED-10099,Eletrodomésticos,219.16,Website,6,4
2026-04-10,PED-10100,Móveis,252.8,Loja Parceira,3,5
2026-04-11,PED-10101,Eletrodomésticos,85.98,App Mobile,2,5
2026-04-12,PED-10102,Eletrodomésticos,114.68,Website,4,4
