Machine_ID,Timestamp,Temperature,Vibration,Torque,RPM,Tool_Wear,Machine_Failure
Compressor_03,2026-08-01 00:00:00,87.16,2.81,35.44,1674,0.0,Não
Turbina_02,2026-08-01 00:30:00,89.39,2.74,31.74,1721,2.4,Não
Motor_04,2026-08-01 01:00:00,82.9,2.71,47.22,1572,0.0,Não
Turbina_02,2026-08-01 01:30:00,81.59,3.7,35.24,1611,0.0,Não
Compressor_03,2026-08-01 02:00:00,91.1,3.36,37.0,1858,8.2,Não
Motor_04,2026-08-01 02:30:00,88.98,3.06,36.94,1675,0.9,Não
Compressor_03,2026-08-01 03:00:00,89.29,2.43,40.01,2070,2.7,Não
Caldeira_01,2026-08-01 03:30:00,82.66,3.08,47.95,1810,7.8,Não
Motor_04,2026-08-01 04:00:00,90.57,3.38,34.62,1597,12.6,Não
Compressor_03,2026-08-01 04:30:00,75.27,3.41,38.62,1628,7.2,Não
Motor_04,2026-08-01 05:00:00,90.66,3.31,40.54,1957,4.5,Não
Compressor_03,2026-08-01 05:30:00,84.67,2.55,36.09,1788,6.7,Não
Motor_04,2026-08-01 06:00:00,85.64,1.52,38.55,1948,3.3,Não
Compressor_03,2026-08-01 06:30:00,80.27,4.46,42.68,1745,5.4,Não
Caldeira_01,2026-08-01 07:00:00,75.93,2.28,36.6,1715,6.3,Não
Motor_04,2026-08-01 07:30:00,85.54,1.82,38.48,1967,2.1,Não
Motor_04,2026-08-01 08:00:00,87.76,3.29,38.06,1671,6.5,Não
Motor_04,2026-08-01 08:30:00,88.51,2.0,39.53,1873,8.6,Não
Motor_04,2026-08-01 09:00:00,87.97,2.64,41.09,1768,9.8,Não
Caldeira_01,2026-08-01 09:30:00,86.84,3.58,42.64,1931,9.8,Não
Motor_04,2026-08-01 10:00:00,80.38,4.44,48.72,2072,1.3,Não
Turbina_02,2026-08-01 10:30:00,88.84,3.47,28.04,1741,14.6,Não
Caldeira_01,2026-08-01 11:00:00,79.82,2.89,39.25,1717,14.5,Não
Turbina_02,2026-08-01 11:30:00,90.54,3.16,33.86,1899,8.7,Não
Motor_04,2026-08-01 12:00:00,84.58,1.93,38.27,1637,11.9,Não
Compressor_03,2026-08-01 12:30:00,84.75,2.88,43.96,2042,8.9,Não
Turbina_02,2026-08-01 13:00:00,89.33,2.89,45.39,2016,14.2,Não
Motor_04,2026-08-01 13:30:00,90.01,3.31,45.6,1650,6.7,Não
Turbina_02,2026-08-01 14:00:00,88.85,4.56,45.56,1562,17.9,Não
Motor_04,2026-08-01 14:30:00,80.9,1.84,39.22,1625,15.1,Não
Motor_04,2026-08-01 15:00:00,88.81,2.91,46.29,1628,15.6,Não
Motor_04,2026-08-01 15:30:00,80.93,1.92,47.19,1920,11.9,Não
Compressor_03,2026-08-01 16:00:00,88.94,2.85,40.62,2032,5.8,Não
Turbina_02,2026-08-01 16:30:00,77.87,2.59,45.3,1918,17.6,Não
Caldeira_01,2026-08-01 17:00:00,84.53,2.15,40.19,1764,6.7,Não
Caldeira_01,2026-08-01 17:30:00,80.9,3.84,46.35,1851,18.5,Não
Caldeira_01,2026-08-01 18:00:00,89.35,3.38,39.27,1669,10.6,Não
Caldeira_01,2026-08-01 18:30:00,90.58,3.76,37.26,1964,6.9,Não
