Batch_ID,Plant_Location,Timestamp,Sensor_Temp,Sensor_Pressure,Vibration_RMS,Power_KW,Quality_Score,Scrap_Units,Operational_Cost_USD,Status
BATCH-2026-100,Planta_MG,2026-06-01 00:00:00,77.59,6.31,1.65,110.59,88.1,2,822.84,Operação Normal
BATCH-2026-101,Planta_PR,2026-06-01 04:00:00,75.03,5.62,3.23,138.11,93.0,2,726.26,Operação Normal
BATCH-2026-102,Planta_SP,2026-06-01 08:00:00,81.38,5.62,2.34,107.79,87.1,2,727.29,Operação Normal
BATCH-2026-103,Planta_SP,2026-06-01 12:00:00,74.59,5.27,2.38,122.71,99.3,7,861.07,Operação Normal
BATCH-2026-104,Planta_SP,2026-06-01 16:00:00,83.07,5.33,3.24,123.4,98.7,1,689.14,Operação Normal
BATCH-2026-105,Planta_SP,2026-06-01 20:00:00,80.49,5.67,2.73,139.47,97.0,3,812.04,Operação Normal
BATCH-2026-106,Planta_PR,2026-06-02 00:00:00,82.66,5.5,3.36,138.94,98.4,3,781.88,Operação Normal
BATCH-2026-107,Planta_MG,2026-06-02 04:00:00,74.61,4.71,3.51,119.14,89.0,4,815.08,Operação Normal
BATCH-2026-108,Planta_MG,2026-06-02 08:00:00,76.47,6.42,2.58,112.87,90.7,0,704.52,Operação Normal
BATCH-2026-109,Planta_SP,2026-06-02 12:00:00,81.59,6.39,3.3,110.04,94.8,1,692.01,Operação Normal
BATCH-2026-110,Planta_SP,2026-06-02 16:00:00,80.87,,2.52,116.38,93.9,4,790.97,Operação Normal
BATCH-2026-111,Planta_SP,2026-06-02 20:00:00,76.85,5.43,4.02,113.49,97.8,5,817.74,Operação Normal
BATCH-2026-112,Planta_MG,2026-06-03 00:00:00,77.42,6.82,2.55,128.3,94.3,4,871.44,Operação Normal
BATCH-2026-113,Planta_MG,2026-06-03 04:00:00,76.26,5.91,3.41,126.3,100.0,0,719.93,Operação Normal
BATCH-2026-114,Planta_SP,2026-06-03 08:00:00,77.31,5.58,3.32,128.88,87.0,1,798.21,Operação Normal
BATCH-2026-115,Planta_PR,2026-06-03 12:00:00,74.14,6.12,3.06,138.89,96.7,0,779.29,Operação Normal
BATCH-2026-116,Planta_MG,2026-06-03 16:00:00,73.47,6.09,2.56,147.94,94.0,2,844.87,Operação Normal
BATCH-2026-117,Planta_MG,2026-06-03 20:00:00,82.02,4.75,2.82,121.87,93.8,3,863.76,Operação Normal
BATCH-2026-118,Planta_SP,2026-06-04 00:00:00,77.18,5.98,1.82,136.49,86.5,2,739.72,Operação Normal
BATCH-2026-119,Planta_PR,2026-06-04 04:00:00,82.61,,3.01,114.73,95.7,4,782.85,Operação Normal
BATCH-2026-120,Planta_SP,2026-06-04 08:00:00,80.38,5.81,3.07,137.78,98.0,2,886.16,Operação Normal
BATCH-2026-121,Planta_SP,2026-06-04 12:00:00,79.25,5.34,2.97,135.92,84.4,1,756.79,Operação Normal
BATCH-2026-122,Planta_PR,2026-06-04 16:00:00,75.16,5.35,1.41,135.13,92.5,2,652.47,Operação Normal
BATCH-2026-123,Planta_PR,2026-06-04 20:00:00,73.16,6.26,2.27,121.41,87.8,1,733.39,Operação Normal
BATCH-2026-124,Planta_PR,2026-06-05 00:00:00,76.17,6.38,2.53,109.97,99.8,2,754.7,Operação Normal
BATCH-2026-125,Planta_MG,2026-06-05 04:00:00,84.13,5.78,3.05,99.08,89.6,4,647.49,Operação Normal
BATCH-2026-126,Planta_SP,2026-06-05 08:00:00,81.56,6.19,3.04,119.4,84.6,4,881.62,Operação Normal
BATCH-2026-127,Planta_MG,2026-06-05 12:00:00,75.8,5.77,2.81,143.0,87.6,5,846.71,Operação Normal
BATCH-2026-128,Planta_PR,2026-06-05 16:00:00,76.22,5.57,3.22,115.35,93.1,3,799.06,Operação Normal
BATCH-2026-129,Planta_MG,2026-06-05 20:00:00,74.28,6.11,2.39,131.78,81.5,1,750.9,Operação Normal
BATCH-2026-130,Planta_PR,2026-06-06 00:00:00,71.81,5.43,3.21,132.66,92.1,2,724.37,Operação Normal
BATCH-2026-131,Planta_PR,2026-06-06 04:00:00,78.41,6.95,3.14,115.74,98.6,1,679.82,Operação Normal
BATCH-2026-132,Planta_SP,2026-06-06 08:00:00,84.9,5.28,3.09,139.75,97.0,2,754.79,Operação Normal
BATCH-2026-133,Planta_SP,2026-06-06 12:00:00,84.95,6.14,2.81,76.37,81.4,4,791.75,Operação Normal
BATCH-2026-134,Planta_SP,2026-06-06 16:00:00,80.43,6.08,3.82,101.66,99.9,2,725.61,Operação Normal
BATCH-2026-135,Planta_MG,2026-06-06 20:00:00,75.59,6.03,3.15,106.27,94.0,4,765.18,Operação Normal
BATCH-2026-136,Planta_SP,2026-06-07 00:00:00,72.2,6.74,2.42,107.7,83.2,2,697.14,Operação Normal
BATCH-2026-137,Planta_PR,2026-06-07 04:00:00,82.19,4.66,3.02,125.04,80.2,4,884.89,Operação Normal
BATCH-2026-138,Planta_SP,2026-06-07 08:00:00,79.79,6.21,3.28,124.35,83.4,4,897.04,Operação Normal
BATCH-2026-139,Planta_MG,2026-06-07 12:00:00,76.74,5.86,2.61,125.91,96.8,3,860.87,Operação Normal
BATCH-2026-140,Planta_SP,2026-06-07 16:00:00,76.07,6.29,3.44,128.94,80.4,2,806.72,Operação Normal
BATCH-2026-141,Planta_SP,2026-06-07 20:00:00,80.4,6.03,3.09,105.75,84.7,6,854.84,Operação Normal
BATCH-2026-142,Planta_SP,2026-06-08 00:00:00,74.69,5.96,1.73,101.73,95.1,5,747.31,Operação Normal
BATCH-2026-143,Planta_MG,2026-06-08 04:00:00,78.96,5.4,3.05,125.94,91.7,4,814.41,Operação Normal
BATCH-2026-144,Planta_PR,2026-06-08 08:00:00,73.12,5.66,2.7,110.55,95.7,5,789.79,Operação Normal
BATCH-2026-145,Planta_PR,2026-06-08 12:00:00,86.91,7.57,3.17,96.44,94.9,4,682.32,Operação Normal
BATCH-2026-146,Planta_PR,2026-06-08 16:00:00,75.25,6.3,3.37,134.57,81.0,0,795.08,Operação Normal
BATCH-2026-147,Planta_SP,2026-06-08 20:00:00,80.59,6.53,3.0,140.93,97.9,1,743.88,Operação Normal
BATCH-2026-148,Planta_SP,2026-06-09 00:00:00,73.21,5.82,3.73,143.36,84.5,3,892.84,Operação Normal
BATCH-2026-149,Planta_MG,2026-06-09 04:00:00,77.35,5.57,2.81,122.81,91.1,2,815.14,Operação Normal
BATCH-2026-150,Planta_PR,2026-06-09 08:00:00,81.54,6.39,3.21,129.39,92.9,3,835.74,Operação Normal
BATCH-2026-151,Planta_SP,2026-06-09 12:00:00,82.4,5.05,3.3,140.55,83.4,7,958.63,Operação Normal
BATCH-2026-152,Planta_SP,2026-06-09 16:00:00,81.05,5.67,2.85,110.38,99.5,5,792.92,Operação Normal
BATCH-2026-153,Planta_SP,2026-06-09 20:00:00,77.45,5.82,3.29,136.66,89.8,4,938.88,Operação Normal
BATCH-2026-154,Planta_MG,2026-06-10 00:00:00,75.34,,2.6,124.13,81.2,5,850.59,Operação Normal
BATCH-2026-155,Planta_PR,2026-06-10 04:00:00,73.69,6.21,2.69,133.71,98.7,2,805.77,Operação Normal
BATCH-2026-156,Planta_MG,2026-06-10 08:00:00,84.02,5.76,2.24,122.79,91.7,4,788.57,Operação Normal
BATCH-2026-157,Planta_PR,2026-06-10 12:00:00,78.41,6.18,3.02,139.44,94.0,8,904.44,Operação Normal
BATCH-2026-158,Planta_PR,2026-06-10 16:00:00,79.15,5.85,3.06,123.35,90.5,2,795.9,Operação Normal
BATCH-2026-159,Planta_SP,2026-06-10 20:00:00,82.66,6.54,3.49,97.74,96.7,1,711.81,Operação Normal
BATCH-2026-160,Planta_SP,2026-06-11 00:00:00,80.35,6.12,3.3,141.78,80.7,1,740.73,Operação Normal
BATCH-2026-161,Planta_SP,2026-06-11 04:00:00,77.49,6.87,2.76,105.79,85.4,1,643.5,Operação Normal
BATCH-2026-162,Planta_SP,2026-06-11 08:00:00,80.98,5.86,2.31,138.8,89.4,1,711.34,Operação Normal
BATCH-2026-163,Planta_SP,2026-06-11 12:00:00,75.51,6.61,3.12,118.65,81.5,1,798.37,Operação Normal
BATCH-2026-164,Planta_PR,2026-06-11 16:00:00,71.8,6.05,3.46,137.64,94.1,5,842.09,Operação Normal
